"date";"mesocosm";"taxon_cyto";"cyto"
"2015_09_01";"30";"nanophytoplankton";5.0715
"2015_09_01";"23";"nanophytoplankton";3.192
"2015_09_01";"26";"nanophytoplankton";1.974
"2015_09_01";"36";"nanophytoplankton";7.77
"2015_09_01";"8";"nanophytoplankton";2.8875
"2015_09_01";"2";"nanophytoplankton";1.743
"2015_09_01";"16";"nanophytoplankton";3.087
"2015_09_24";"4";"nanophytoplankton";2.65125
"2015_09_24";"19";"nanophytoplankton";7.105
"2015_09_24";"13";"nanophytoplankton";1.273125
"2015_09_24";"31";"nanophytoplankton";4.7775
"2015_09_24";"23";"nanophytoplankton";1.302
"2015_09_24";"22";"nanophytoplankton";3.924375
"2015_09_24";"12";"nanophytoplankton";6.51
"2015_09_24";"28";"nanophytoplankton";1.638
"2015_09_24";"3";"nanophytoplankton";2.772
"2015_09_24";"10";"nanophytoplankton";2.9925
"2015_09_24";"30";"nanophytoplankton";3.15
"2015_09_24";"20";"nanophytoplankton";2.058
"2015_09_24";"2";"nanophytoplankton";1.134
"2015_09_24";"1";"nanophytoplankton";8.232
"2015_09_24";"11";"nanophytoplankton";4.239375
"2015_09_24";"32";"nanophytoplankton";2.5515
"2015_09_24";"21";"nanophytoplankton";4.662
"2015_09_24";"29";"nanophytoplankton";3.405
"2015_09_24";"26";"nanophytoplankton";1.092
"2015_09_24";"8";"nanophytoplankton";2.3415
"2015_09_24";"25";"nanophytoplankton";2.373
"2015_09_24";"7";"nanophytoplankton";3.213
"2015_09_24";"34";"nanophytoplankton";4.872
"2015_09_24";"27";"nanophytoplankton";3.39
"2015_09_24";"6";"nanophytoplankton";3.675
"2015_09_24";"24";"nanophytoplankton";4.011
"2015_09_24";"33";"nanophytoplankton";1.89
"2015_09_24";"5";"nanophytoplankton";3.087
"2015_09_24";"14";"nanophytoplankton";3.444
"2015_09_24";"15";"nanophytoplankton";3.423
"2015_09_24";"17";"nanophytoplankton";3.171
"2015_09_24";"16";"nanophytoplankton";2.3835
"2015_09_24";"9";"nanophytoplankton";3.7275
"2015_09_24";"36";"nanophytoplankton";2.835
"2015_09_24";"18";"nanophytoplankton";7.833
"2015_09_24";"35";"nanophytoplankton";3.045
"2015_10_21";"27";"nanophytoplankton";2.73
"2015_10_21";"22";"nanophytoplankton";2.743125
"2015_10_21";"11";"nanophytoplankton";2.4675
"2015_10_21";"13";"nanophytoplankton";0.3675
"2015_10_21";"12";"nanophytoplankton";3.192
"2015_10_21";"18";"nanophytoplankton";3.234
"2015_10_21";"34";"nanophytoplankton";3.381
"2015_10_21";"28";"nanophytoplankton";2.037
"2015_10_21";"15";"nanophytoplankton";1.869
"2015_10_21";"23";"nanophytoplankton";0.9135
"2015_10_21";"1";"nanophytoplankton";5.292
